patch_lon,patch_lat,patchclass,T_eff_wilheit_H,T_eff_wilheit_V,T_eff_lv_multi,T_eff_lv_two,T_eff_wigneron,T_eff_holmes2006,T_eff_wigneron2008,depth_90_lv_multi,t_surf,wc_surf,clay_surf,mvt_surf,sand_surf,bd_surf,t_deep,t_soi_max,eps_surf_real,eps_surf_imag,C_lv_two,C_holmes2006,C_inverted_wilheit,b_param_inverted,dz_surf_inverted,t_soi_layer_1,t_soi_layer_2,t_soi_layer_3,t_soi_layer_4,t_soi_layer_5,t_soi_layer_6,t_soi_layer_7,t_soi_layer_8,t_soi_layer_9,t_soi_layer_10
117.26647441110624,-28.027831526865356,6,313.32834,313.32834,302.85925,300.53455,301.97067,305.9476,302.23218,0.23432603,307.19843,0.0053422335,0.10071754,0.02893893,0.64218503,1500.166,299.74445,313.32834,2.8065414,0.14184861,0.1059984,0.8321957,1.8223679,2.1805776e-05,4.6334867,313.32834,303.3117,301.61044,302.25363,302.5491,302.01212,300.42334,298.43933,296.31772,294.6663
115.21164472924036,-28.42479308622267,6,311.85104,311.85104,299.02234,296.06345,297.79147,303.6345,298.29404,0.43345565,305.42947,0.003788343,0.08206909,0.02888173,0.6369275,1555.0969,294.97504,311.85104,2.765799,0.13816151,0.10410863,0.8283056,1.6142435,2.1263393e-05,4.7224836,311.85104,301.35788,299.17786,299.492,298.72357,296.41342,295.36285,294.22955,292.95346,291.96255
115.20495364838901,-28.3023331602407,7,313.67233,313.67233,300.3812,296.80634,299.0544,305.00015,299.35736,0.450481,306.87692,0.0057958034,0.0578243,0.028807364,0.695619,1458.7688,295.60443,313.67233,2.8193774,0.1430601,0.10662353,0.8335087,1.6028312,2.1994545e-05,4.604742,313.67233,302.5682,300.1787,300.62384,300.20514,297.703,296.07504,294.69983,293.3591,292.4085
115.14010543615056,-28.363331673769597,10,311.68076,311.68076,299.73074,297.36734,298.86285,303.9983,299.23972,0.2786535,305.5734,0.0036894034,0.08704551,0.028896995,0.66128904,1513.432,296.41513,311.68076,2.7631052,0.13790448,0.10397333,0.8280116,1.6668688,2.1223394e-05,4.7289815,311.68076,301.701,298.94962,299.01367,298.9216,298.18243,296.91043,295.463,293.73398,292.393
115.03870627564605,-28.42121689515134,12,314.19922,314.19922,299.74838,295.50824,298.78473,305.3697,299.30872,0.5922099,307.49203,0.009429567,0.06216451,0.028820677,0.725231,1570.9347,294.0097,314.19922,2.9167502,0.15206197,0.11114776,0.84258276,1.4974796,2.338494e-05,4.406322,314.19922,303.23932,299.7355,299.93405,300.2184,297.23987,294.40036,293.25873,292.03348,291.05383
115.42011671229578,-28.33393544049577,6,310.51685,310.51685,303.0829,300.2337,302.1546,305.37906,302.20023,0.27865928,306.4173,0.013048073,0.11591216,0.028985538,0.5796133,1417.4579,299.4245,310.51685,3.0143259,0.161353,0.115721464,0.85152763,1.5862529,2.4921417e-05,4.2214856,310.51685,303.81796,302.33588,302.5238,302.84497,301.94003,300.12848,298.0713,295.92496,294.46738
115.88556763788586,-28.371123997970408,6,310.66013,310.66013,301.9351,298.90738,300.48004,304.56427,300.74176,0.4016696,305.85468,0.005987631,0.08791412,0.028899658,0.67278063,1500.4453,298.07596,310.66013,2.823905,0.1435482,0.10688603,0.83410954,1.617769,2.2081924e-05,4.5927677,310.66013,302.80777,301.58438,302.05484,301.6039,300.1588,298.68652,296.90225,295.0163,293.5917
116.11590271222038,-28.39421999977251,6,309.30545,309.30545,301.84546,298.673,300.18353,304.08295,300.42877,0.41262984,305.31482,0.006054438,0.088718325,0.028902125,0.6640149,1497.3408,297.87723,309.30545,2.8256595,0.14375004,0.106996596,0.83437115,1.5365489,2.2120163e-05,4.587744,309.30545,302.78455,301.7438,302.2146,301.75293,299.8982,298.4639,296.74948,294.94064,293.54477
126.94554950331592,-14.663230143292964,7,310.59045,310.59045,302.57486,301.74414,304.42166,305.2309,304.0685,0.08468785,305.72736,0.10663979,0.108556576,0.028962975,0.64044106,1433.4498,300.8329,310.59045,6.4647307,0.395834,0.18618023,0.8985641,1.9935904,3.74491e-05,2.5200515,310.59045,302.64386,301.1481,300.57782,300.98697,301.32147,300.88937,300.72424,300.85492,300.7967
127.58588245301262,-14.571685796132016,9,310.67627,310.67627,303.107,302.07236,304.91183,305.5048,304.50003,0.0794602,305.98907,0.13128044,0.13987966,0.029059052,0.5710196,1446.7057,301.0834,310.67627,7.6049585,0.4691752,0.20159459,0.90127903,1.9554647,3.853606e-05,2.3060071,310.67627,303.01715,301.26102,300.55728,300.907,301.26477,301.06436,301.11996,301.36407,301.2782
