date,time_index,patchclass,patch_lat,patch_lon,patch_weights,obs_tb_h,obs_tb_v,sim_tb_h,sim_tb_v,sim_tb_h_patch,sim_tb_v_patch,beta_surf_r,beta_surf_r_D85,sigma_surf,sigma_surf_D85,eps_surf_r,eps_surf_r_M09,eps_surf_r_D85,eps_surf_i,eps_surf_i_M09,eps_surf_i_D85,hr,surface_sm,surface_t,surface_clay,surface_sand,lai,sai,htop,surface_porsl,surface_BD_all,forc_topo,ffrz,t_eff_array,r_s_h,r_s_v,r_r_h,r_r_v
2016-11-30-20,8036,10,-20.626389,138.354173,1.000000,276.668152,294.102966,271.309326,287.625946,271.309326,287.625946,1.385700,1.022809,0.071592,1.407532,5.801393,5.500682,9.098594,0.362217,0.651959,2.121096,1.020472,0.153897,26.362488,48.302303,34.406849,0.221964,0.098255,0.500000,0.599348,1.577520,233.307419,0.000000,298.282745,0.254446,0.098898,0.091709,0.035645
2016-12-02-20,8084,10,-20.626389,138.354173,1.000000,258.370850,284.066528,273.940338,290.912415,273.940338,290.912415,1.379632,1.022809,0.070795,1.407532,5.898235,5.623449,9.178275,0.347708,0.674974,2.128404,1.001698,0.156816,29.646576,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,302.139618,0.257722,0.101026,0.094650,0.037102
2016-12-03-20,8108,10,-20.626389,138.354173,1.000000,265.546936,288.374695,274.350586,291.205872,274.350586,291.205872,1.358767,1.022809,0.068105,1.407532,5.840142,5.440710,8.832211,0.323058,0.640121,2.061170,1.004349,0.150156,29.933197,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,302.270325,0.255645,0.099676,0.093638,0.036510
2016-12-05-20,8156,10,-20.626389,138.354173,1.000000,275.669739,293.738342,273.739624,290.526367,273.739624,290.526367,1.364926,1.022809,0.068883,1.407532,5.841896,5.471439,8.909243,0.330879,0.645947,2.077159,1.006153,0.151483,29.430450,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,301.552887,0.255732,0.099732,0.093501,0.036464
2016-12-08-20,8228,10,-20.626389,138.354173,1.000000,256.878845,283.011475,273.365814,290.091736,273.365814,290.091736,1.362083,1.022809,0.068522,1.407532,5.829950,5.440826,8.856024,0.327720,0.640120,2.066968,1.007186,0.150411,29.359863,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,301.047272,0.255309,0.099458,0.093251,0.036327
2016-12-10-20,8276,10,-20.626389,138.354173,1.000000,275.291992,293.015076,274.387299,290.637604,274.387299,290.637604,1.342700,1.022809,0.066112,1.407532,5.686010,5.146592,8.399767,0.309003,0.584654,1.980738,1.024332,0.140532,27.181732,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,301.080078,0.250217,0.096181,0.089837,0.034533
2016-12-11-20,8300,10,-20.626389,138.354173,1.000000,203.200211,239.829285,274.365662,290.941101,274.365662,290.941101,1.340626,1.022809,0.065867,1.407532,5.754873,5.235856,8.483034,0.303646,0.601279,1.993679,1.012253,0.142984,29.263947,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,301.681305,0.252621,0.097723,0.091802,0.035512
2016-12-13-20,8348,10,-20.626389,138.354173,1.000000,267.605286,288.438873,273.371765,289.989227,273.371765,289.989227,1.362284,1.022809,0.068545,1.407532,5.806586,5.407130,8.821527,0.329041,0.633728,2.061602,1.011179,0.149479,28.701172,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,300.833099,0.254506,0.098938,0.092587,0.035993
2016-12-16-20,8420,10,-20.626389,138.354173,1.000000,228.535187,263.903809,269.145233,287.028687,269.145233,287.028687,1.497275,1.022809,0.095787,1.407532,6.526025,7.430040,11.820709,0.566034,1.053758,2.612165,0.985381,0.204227,27.051239,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,299.895203,0.278937,0.115255,0.104126,0.043024
2016-12-18-20,8468,10,-20.626389,138.354173,1.000000,258.168396,283.587402,273.393066,289.937531,273.393066,289.937531,1.372584,1.022809,0.069862,1.407532,5.804438,5.449261,8.942755,0.343069,0.641846,2.087477,1.015165,0.151446,27.693634,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,300.740417,0.254481,0.098921,0.092209,0.035843
2016-12-19-20,8492,10,-20.626389,138.354173,1.000000,218.992981,254.676910,269.959839,287.370453,269.959839,287.370453,1.481005,1.022809,0.088939,1.407532,6.277837,6.850068,11.148815,0.514337,0.926769,2.497831,0.995184,0.192116,26.674286,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,299.505188,0.270928,0.109790,0.100150,0.040584
2016-12-21-20,8540,10,-20.626389,138.354173,1.000000,192.196350,235.460358,270.020081,286.760315,270.020081,286.760315,1.440555,1.022809,0.079917,1.407532,6.002339,6.044694,10.127256,0.439266,0.756764,2.316387,1.009813,0.173240,26.143036,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,297.995575,0.261594,0.103563,0.095295,0.037727
2016-12-24-20,8612,10,-20.626389,138.354173,1.000000,206.591888,247.081787,211.260849,231.642822,211.260849,231.642822,0.312357,1.022809,1.233455,1.407532,63.097321,23.814838,28.742350,5.384098,4.931810,5.077298,0.833220,0.446859,24.157532,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,297.063721,0.678986,0.517204,0.295120,0.224801
2016-12-26-20,8660,10,-20.626389,138.354173,1.000000,237.472382,269.893860,212.002533,232.489426,212.002533,232.489426,0.327251,1.022809,1.191123,1.407532,61.723381,23.406254,28.333937,5.186090,4.841147,5.015121,0.834664,0.442182,24.483429,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,297.411804,0.676023,0.513370,0.293408,0.222813
2016-12-27-20,8684,10,-20.626389,138.354173,1.000000,179.570221,223.037537,210.653244,231.209030,210.653244,231.209030,0.295094,1.022809,1.285025,1.407532,64.484573,24.483614,29.268879,5.592856,5.131384,5.116940,0.822684,0.454645,25.054443,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,298.023102,0.681895,0.520978,0.299523,0.228840
2016-12-29-20,8732,10,-20.626389,138.354173,1.000000,216.845673,254.838104,220.592941,242.016617,220.592941,242.016617,0.485218,1.022809,0.834660,1.407532,48.494186,19.908810,24.925547,3.638726,4.012915,4.537607,0.856431,0.400006,25.894135,48.302303,34.406849,0.214069,0.098467,0.500000,0.599348,1.577520,233.307419,0.000000,301.008240,0.642268,0.470553,0.272755,0.199832
